query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,3,True,0.0014246240000002075
2,std,4,3,True,0.0013991570000007059
3,std,3,2,True,0.0010037910000004757
4,std,4,3,True,0.0017159239999999798
5,std,93229,8,True,6.758530594000001
6,std,5,4,True,0.002487092999999163
7,std,8,7,True,0.003141883999999706
8,std,4,3,True,0.0013120359999998499
9,std,6,5,True,0.002032629000000341
10,std,5,4,True,0.0014186509999998265
11,std,4,3,True,0.0012369559999996227
12,std,3,2,True,0.0007472390000007323
13,std,2,1,True,0.0003034209999999149
14,std,16506,3,True,1.0533145630000007
15,std,5,4,True,0.0020122789999987845
16,std,4,3,True,0.001430002000001096
17,std,5,4,True,0.0015156829999991572
18,std,3,2,True,0.0010833369999989628
19,std,5,4,True,0.0015918820000013767
20,std,7,6,True,0.0027460609999998553
21,std,2,1,True,0.00033119200000086835
22,std,4,3,True,0.001259205999998514
23,std,5,4,True,0.0016239819999999128
24,std,1000000,0,False,37.712634556000005
25,std,1000000,0,False,54.90611588
26,std,2,1,True,0.0003113869999964436
27,std,5,4,True,0.00245908499999814
28,std,1000000,0,False,78.32514293100002
29,std,6,5,True,0.0025096299999916027
30,std,32939,2,True,2.1553831889999913
31,std,5,4,True,0.0017097799999987728
32,std,5,4,True,0.0026343370000176947
33,std,1000000,0,False,50.30490395799998
34,std,5,4,True,0.0023649890000001506
35,std,1000000,0,False,45.15966083500001
36,std,2,1,True,0.00032190300004231176
37,std,19,6,True,0.006673394000017652
38,std,2,1,True,0.0002984719999972185
39,std,1000000,0,False,77.52873566599999
40,std,4,3,True,0.0017087429999946835
41,std,4,3,True,0.0014848550000010619
42,std,6,5,True,0.002111890999970001
43,std,11,10,True,0.00518406399999094
44,std,2,1,True,0.00031195100001468745
45,std,5,4,True,0.002554674000009527
46,std,2,1,True,0.00034856399997806875
47,std,1000000,0,False,38.102105397
48,std,4,3,True,0.0016406599999641003
49,std,8301,5,True,0.5844914229999745
50,std,5,4,True,0.002665927999998985
51,std,6,5,True,0.002754967999976543
52,std,5,4,True,0.0015530659999853924
53,std,2,1,True,0.0006233549999592469
54,std,3,2,True,0.0009374830000297152
55,std,3,2,True,0.000935593000008339
56,std,5,4,True,0.002195338999968044
57,std,10,9,True,0.0038210590000176126
58,std,37,3,True,0.01786941199998182
59,std,3,2,True,0.0009239340000135599
60,std,498162,5,True,35.472584360999974
61,std,5,4,True,0.001752619000001232
62,std,4,3,True,0.0015060829999811176
63,std,4,3,True,0.0015428789999987202
64,std,3,2,True,0.0011043970000059744
65,std,5,4,True,0.0023638490000053025
66,std,1000000,0,False,37.38175194500002
67,std,100541,10,True,9.07952805399998
68,std,5,4,True,0.0022380660000180796
69,std,2,1,True,0.0002805629999897974
70,std,5,4,True,0.002211081999973885
71,std,5,4,True,0.0023735709999641585
72,std,1000000,0,False,69.06139279799993
73,std,2,1,True,0.00031192799997370457
74,std,7,6,True,0.0032833230000051117
75,std,5,4,True,0.0029954519999364493
76,std,34,3,True,0.0099684280000929
77,std,2,1,True,0.0002865819999442465
78,std,6,5,True,0.0019646690000172384
79,std,2,1,True,0.00033139899994694133
80,std,2,1,True,0.000769456999933027
81,std,2,1,True,0.0002394919999915146
82,std,2,1,True,0.00022694800009048777
83,std,3,2,True,0.0007616010000219831
84,std,5,4,True,0.0016453460000320774
85,std,2,1,True,0.0005937449999464661
86,std,5,4,True,0.0011370600000191189
87,std,1000000,0,False,36.67954079200001
88,std,2,1,True,0.0007089859999496184
89,std,5,4,True,0.0026695839999320015
90,std,2,1,True,0.0003570840000293174
91,std,2,1,True,0.0006372049999754381
92,std,2,1,True,0.00029848600001969317
93,std,5,4,True,0.001563420000024962
94,std,4,3,True,0.001534480999907828
95,std,2,1,True,0.00028399200004969316
96,std,2,1,True,0.00027299099997435405
97,std,2,1,True,4.3110000092383416e-05
98,std,2,1,True,0.00033808599994245014
99,std,2,1,True,3.842699993583665e-05
100,std,2,1,True,3.503799996451562e-05
