query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.46075289900000005
2,ming,2,1,True,0.017679125000000795
3,ming,2,1,True,0.031052337000000207
4,ming,2,1,True,0.025905698000000754
5,ming,3,2,True,0.04651874400000011
6,ming,2,1,True,0.026252038999999172
7,ming,2,1,True,0.00617621100000143
8,ming,2,1,True,0.03149344500000062
9,ming,3,2,True,0.03069553399999947
10,ming,466,4,True,4.93799759
11,ming,2,1,True,0.022025112999999763
12,ming,3,2,True,0.006792260000000994
13,ming,2,1,True,0.004782335999999887
14,ming,3,2,True,0.008293974999999065
15,ming,2,1,True,0.03567690699999915
16,ming,9514,10,True,48.460080543000004
17,ming,4,3,True,0.07008102399999672
18,ming,4,3,True,0.032958155999999406
19,ming,4,3,True,0.05780238299999496
20,ming,3,2,True,0.027386558999999977
21,ming,3,2,True,0.038666819999995994
22,ming,3707,12,True,17.868814257000004
23,ming,3115,5,True,20.230389560000006
24,ming,2,1,True,0.023239719999992303
25,ming,1412,6,True,10.973751820999993
26,ming,2,1,True,0.005038235000000668
27,ming,2,1,True,6.779199999584762e-05
28,ming,3,2,True,0.03280337099999997
29,ming,2,1,True,0.005427023000009967
30,ming,3,2,True,0.020263415999991707
31,ming,3,2,True,0.023389206999993917
32,ming,92721,6,True,74.34465139699999
33,ming,2,1,True,0.0063127340000050935
34,ming,2,1,True,0.041408723000017744
35,ming,4,3,True,0.031254525999997895
36,ming,4,3,True,0.046155972000008205
37,ming,3,2,True,0.037493533999992223
38,ming,3,2,True,0.03722129900000937
39,ming,3,2,True,0.028731759000010015
40,ming,49,9,True,1.7610416850000092
41,ming,1333,0,False,6.341288300999992
42,ming,3,2,True,0.01761708499998349
43,ming,325,3,True,2.4665849789999754
44,ming,3,2,True,0.023532853999995496
45,ming,3,2,True,0.028012437000001
46,ming,3,2,True,0.025810460000002422
47,ming,4,3,True,0.015863922999983515
48,ming,1000000,0,False,119.60279957699998
49,ming,1000000,0,False,219.24044095099993
50,ming,3,2,True,0.034900650999929894
51,ming,3,2,True,0.05880080300005375
52,ming,3,2,True,0.05570196600001509
53,ming,46,5,True,1.4423931449999827
54,ming,5,4,True,0.1067397090000668
55,ming,3,2,True,0.005335498999897936
56,ming,3707,12,True,25.65381940599991
57,ming,3,2,True,0.011283912999942913
58,ming,2,1,True,0.0022983439999961774
59,ming,3,2,True,9.480899996106018e-05
60,ming,18,3,True,0.1990150190000577
61,ming,5,4,True,0.03769013199996607
62,ming,355,3,True,4.9594733129999895
63,ming,10,9,True,0.8345472739999877
64,ming,4,3,True,0.05203536199996961
65,ming,4,3,True,0.045258209000053284
66,ming,2,1,True,0.03963238200003616
67,ming,2,1,True,8.111999989068863e-05
68,ming,2,1,True,0.006386666000025798
69,ming,2,1,True,0.026718169999981
70,ming,2,1,True,0.040407467000022734
71,ming,2,1,True,0.006896482999991349
72,ming,2,1,True,0.03889892899996994
73,ming,1000000,0,False,215.18174578899993
74,ming,6,5,True,0.0735089089999974
75,ming,6,5,True,0.05029349500000535
76,ming,2,1,True,0.050157030000036684
77,ming,3,2,True,0.03272520400003032
78,ming,25,9,True,1.1791122009999526
79,ming,2,1,True,0.027288001999977496
80,ming,6,5,True,0.05031382799995754
81,ming,3,2,True,0.025582758000041395
82,ming,6,5,True,0.07783427200001825
83,ming,3,2,True,0.03852994800001852
84,ming,2,1,True,0.007277890999944248
85,ming,2,1,True,0.040497596000022895
86,ming,3,2,True,0.0066764949999651435
87,ming,42212,12,True,107.38258105300008
88,ming,3,2,True,0.026272137999967526
89,ming,3,2,True,0.04148179399999208
90,ming,2,1,True,0.02877408999995623
91,ming,3,2,True,0.025642576999985067
92,ming,3,2,True,0.025874484999917513
93,ming,5,4,True,0.04193445700002485
94,ming,3,2,True,0.02589781899996524
95,ming,173,3,True,3.441443781999965
96,ming,1412,6,True,16.43881929099996
97,ming,83517,2,True,20.92748085000005
98,ming,2,1,True,0.006838055999992321
99,ming,3,2,True,9.956400003829913e-05
100,ming,1390,15,True,12.66252406500007
