query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,4,3,True,0.4600233110000005
2,ming,4,3,True,0.10301131499999983
3,ming,2,1,True,0.03728191500000122
4,ming,2,1,True,0.03536181499999991
5,ming,3,2,True,0.04629053799999916
6,ming,2,1,True,0.03453038299999989
7,ming,4,3,True,0.014052333000000417
8,ming,2,1,True,0.03283499000000134
9,ming,3,2,True,0.004249849000000694
10,ming,4,3,True,0.016738756999998827
11,ming,6,5,True,0.12653176199999905
12,ming,2,1,True,0.032953098000000125
13,ming,4,3,True,0.016949903000000432
14,ming,2,1,True,8.723100000018746e-05
15,ming,3,2,True,0.009012751000000208
16,ming,2,1,True,0.0061611290000005425
17,ming,230,7,True,0.9924423489999992
18,ming,4,3,True,0.016787099000000083
19,ming,36,5,True,0.4062377080000008
20,ming,4,3,True,0.05886976999999938
21,ming,2,1,True,0.010445202999999736
22,ming,3,2,True,0.010296797000000524
23,ming,22,6,True,0.5271937829999995
24,ming,4,3,True,0.01059783599999875
25,ming,18,5,True,0.16504873100000061
26,ming,2,1,True,0.03516693599999954
27,ming,142,5,True,1.9958562650000005
28,ming,3,2,True,0.0075297620000007726
29,ming,4,3,True,0.01722070699999989
30,ming,332,3,True,1.480288796
31,ming,19,2,True,0.16798461499999995
32,ming,3,2,True,0.0066645669999996215
33,ming,3,2,True,0.005749609000000433
34,ming,4,2,True,0.00967966099999984
35,ming,3,2,True,0.00011312100000004932
36,ming,3,2,True,0.008581294000000739
37,ming,5,2,True,0.014569004000000163
38,ming,144,5,True,0.9309010480000008
39,ming,3,2,True,0.009350975000000261
40,ming,5,4,True,0.0306821149999994
41,ming,23,7,True,2.0520575599999997
42,ming,3,2,True,0.009554406999999543
43,ming,4,3,True,0.012485964999999766
44,ming,3,2,True,0.00753007100000147
45,ming,10,9,True,0.2429365919999995
46,ming,2,1,True,0.006145890999999182
47,ming,2,1,True,0.03692352999999926
48,ming,6,5,True,0.08393567300000271
49,ming,2,1,True,0.009841954999998848
50,ming,4,3,True,0.018732770999999815
51,ming,2,1,True,0.03635341499999711
52,ming,2,1,True,0.0354455329999972
53,ming,7,6,True,0.053310925000001674
54,ming,2,1,True,0.03583884000000026
55,ming,2,1,True,0.03384802900000139
56,ming,3,2,True,0.007216256000003085
57,ming,2,1,True,0.04767436899999922
58,ming,534,5,True,2.0955400389999994
59,ming,2,1,True,0.03539792099999772
60,ming,4,3,True,0.00014799900000284083
61,ming,3,2,True,0.011609290999999189
62,ming,2,1,True,8.414199999862149e-05
63,ming,4,3,True,0.015330201000001153
64,ming,3,2,True,0.004511083000000582
65,ming,5,4,True,0.018668412000000245
66,ming,45,3,True,0.4338629300000001
67,ming,18,2,True,0.03478434999999891
68,ming,45,2,True,0.015202488999999986
69,ming,3,2,True,0.009533592999996898
70,ming,2,1,True,0.035160716000000036
71,ming,3,2,True,0.009203039999999163
72,ming,3,2,True,0.00944545800000185
73,ming,5,4,True,0.14116295999999906
74,ming,34,7,True,0.4402907909999989
75,ming,2,1,True,0.03627499699999959
76,ming,3,2,True,0.00011232200000321768
77,ming,57,2,True,0.17650618800000117
78,ming,2,1,True,0.03445854799999992
79,ming,57,4,True,0.7888848750000008
80,ming,422,7,True,3.165912480000003
81,ming,4,3,True,0.011906556999999651
82,ming,2,1,True,0.030891369999999085
83,ming,2,1,True,0.03769383899999923
84,ming,2,1,True,0.034607836999999364
85,ming,2,1,True,0.037043325999999155
86,ming,4,2,True,0.005308677999998679
87,ming,3,2,True,0.0469881050000005
88,ming,2,1,True,0.0388947789999996
89,ming,90,3,True,0.3739349169999997
90,ming,4,3,True,0.05653916600000031
91,ming,19,3,True,0.13544317499999892
92,ming,3,2,True,0.00585448900000074
93,ming,18,2,True,0.1529812409999991
94,ming,2,1,True,0.03949800399999859
95,ming,306,5,True,0.7148594810000013
96,ming,3,2,True,0.04506964300000149
97,ming,2,1,True,0.03755783400000112
98,ming,3,2,True,0.007118200000000741
99,ming,2,1,True,0.00915482399999945
100,ming,4,3,True,0.015270343000000963
