query,std reasoner,std nodes explored,std min depth,success,time
1,std,20,3,True,0.004043229000000537
2,std,5,3,True,0.0014646250000005523
3,std,2,1,True,0.0003840560000005766
4,std,2,1,True,0.00032648899999987435
5,std,20,3,True,0.0006587799999993038
6,std,2,1,True,0.00032410800000004514
7,std,20,3,True,0.0036725419999994457
8,std,2,1,True,0.0004232239999995002
9,std,4,2,True,0.0003972199999999759
10,std,10,3,True,0.001583155999999697
11,std,81,6,True,0.014664483999999867
12,std,2,1,True,0.00036806399999989026
13,std,4,3,True,0.0008354150000000615
14,std,2,1,True,4.880299999943105e-05
15,std,4,2,True,0.0007041970000001285
16,std,2,1,True,0.0002904790000002322
17,std,33,7,True,0.006078844000000139
18,std,4,3,True,0.0006956190000000362
19,std,8,5,True,0.0013261949999998635
20,std,17,3,True,0.00601631299999994
21,std,2,1,True,0.00029253300000053883
22,std,3,2,True,0.0006252650000000415
23,std,16,7,True,0.003258632999999733
24,std,4,3,True,0.0007089020000003998
25,std,6,5,True,0.0012554549999999054
26,std,2,1,True,0.000335394999999572
27,std,118,5,True,0.12796485800000035
28,std,4,2,True,0.0006903510000002555
29,std,10,3,True,0.0019168000000000518
30,std,59,3,True,0.008630126999999987
31,std,4,2,True,0.0007183429999999547
32,std,3,2,True,0.0005952100000001792
33,std,4,2,True,0.001018442999999536
34,std,4,2,True,0.0006603409999996757
35,std,20,3,True,0.00022125400000039264
36,std,4,2,True,0.0006230159999995877
37,std,3,2,True,0.0005266860000006091
38,std,9,5,True,0.002020640000000462
39,std,4,2,True,0.0006393730000002762
40,std,27,4,True,0.006966647000000492
41,std,5398,9,True,0.26677940300000014
42,std,4,2,True,0.0006857150000003642
43,std,4,3,True,0.000730809000000221
44,std,4,2,True,0.000637030999999233
45,std,1231,9,True,0.036842161999999234
46,std,2,1,True,0.00026570100000000707
47,std,2,1,True,0.0003217170000002767
48,std,19,5,True,0.008181663999999422
49,std,2,1,True,0.000566237000000136
50,std,4,3,True,0.0015283420000002934
51,std,2,1,True,0.00038105799999943457
52,std,2,1,True,0.0003469709999999182
53,std,24,6,True,0.000983879999999715
54,std,2,1,True,0.00048508699999949556
55,std,2,1,True,0.0003439870000008227
56,std,4,2,True,0.0006603880000000117
57,std,2,1,True,0.0004271380000000491
58,std,7,5,True,0.0015773989999994242
59,std,2,1,True,0.0003491389999998873
60,std,5,3,True,8.465300000004561e-05
61,std,3,2,True,0.0006081360000003144
62,std,2,1,True,6.609799999957033e-05
63,std,5,3,True,0.0006394700000003084
64,std,4,2,True,0.000640976999999765
65,std,7,4,True,0.0016096899999995529
66,std,4,3,True,0.0007940159999995089
67,std,4,2,True,0.0007131329999996439
68,std,4,2,True,0.0006219110000005301
69,std,3,2,True,0.0005063920000001332
70,std,2,1,True,0.00034041500000014935
71,std,4,2,True,0.0006993579999994282
72,std,4,2,True,0.0006943179999998605
73,std,5,4,True,0.007052802000000469
74,std,793,7,True,0.04409148699999932
75,std,2,1,True,0.00035732600000049075
76,std,20,3,True,0.0002594839999998655
77,std,3,2,True,0.0005385519999991928
78,std,2,1,True,0.0003464070000003261
79,std,5,4,True,0.0009580709999994497
80,std,14,7,True,0.0034567420000000126
81,std,4,3,True,0.0004460069999998595
82,std,2,1,True,0.0006221709999998382
83,std,2,1,True,0.0003467000000005882
84,std,2,1,True,0.0003536350000006294
85,std,2,1,True,0.000351615999999666
86,std,3,2,True,0.0006493179999997878
87,std,20,3,True,0.0006828990000000701
88,std,2,1,True,0.00035548100000060145
89,std,16,3,True,0.0031737889999998714
90,std,5,3,True,0.0005935909999994493
91,std,5,3,True,0.001255654999999578
92,std,4,2,True,0.00030556199999942635
93,std,4,2,True,0.0006604299999999341
94,std,2,1,True,0.00032278200000046553
95,std,7,5,True,0.0010177360000005464
96,std,20,3,True,0.0004144560000005626
97,std,2,1,True,0.0003260570000005458
98,std,3,2,True,0.0054907110000002035
99,std,2,1,True,0.00029634299999958813
100,std,4,3,True,0.0009362040000002736
