query,std reasoner,std nodes explored,std min depth,success,time
1,std,20,3,True,0.004120982999999967
2,std,5,3,True,0.0014514810000001432
3,std,2,1,True,0.00039547399999939614
4,std,2,1,True,0.0003498589999999524
5,std,20,3,True,0.0006805750000005162
6,std,2,1,True,0.00034525199999979606
7,std,20,3,True,0.0038646799999995096
8,std,2,1,True,0.00045663200000056747
9,std,4,2,True,0.00042586600000049657
10,std,10,3,True,0.0016931790000001001
11,std,81,6,True,0.01605733099999984
12,std,2,1,True,0.0003512770000000387
13,std,4,3,True,0.0008182879999996118
14,std,2,1,True,4.695500000018171e-05
15,std,4,2,True,0.0007052719999993684
16,std,2,1,True,0.00027873899999963925
17,std,33,7,True,0.006070081999999921
18,std,4,3,True,0.0006936319999999441
19,std,8,5,True,0.0013639369999998152
20,std,17,3,True,0.0062238219999999345
21,std,2,1,True,0.0002967420000006271
22,std,3,2,True,0.0006621700000000175
23,std,16,7,True,0.003385330999999603
24,std,4,3,True,0.0007396379999997649
25,std,6,5,True,0.0012293590000007626
26,std,2,1,True,0.0003293729999995776
27,std,118,5,True,0.1341101800000004
28,std,4,2,True,0.0006567689999998905
29,std,10,3,True,0.002000299999999733
30,std,59,3,True,0.009018117000000103
31,std,4,2,True,0.0007434369999996804
32,std,3,2,True,0.0006380589999999131
33,std,4,2,True,0.0010992559999998264
34,std,4,2,True,0.0006721089999999208
35,std,20,3,True,0.00021979999999999222
36,std,4,2,True,0.0006060549999995501
37,std,3,2,True,0.0005202490000000282
38,std,9,5,True,0.0020927550000005013
39,std,4,2,True,0.0006740700000005262
40,std,27,4,True,0.007149305999999633
41,std,5398,9,True,0.28234956399999955
42,std,4,2,True,0.0007137459999997375
43,std,4,3,True,0.0007593159999998988
44,std,4,2,True,0.0006261730000005628
45,std,1231,9,True,0.039232077999999504
46,std,2,1,True,0.00027898899999989624
47,std,2,1,True,0.0003522939999998087
48,std,19,5,True,0.005313558000000107
49,std,2,1,True,0.0003094850000007199
50,std,4,3,True,0.0010708680000002246
51,std,2,1,True,0.0003427920000005358
52,std,2,1,True,0.000336572000000146
53,std,24,6,True,0.0006989710000002702
54,std,2,1,True,0.0004453190000006657
55,std,2,1,True,0.0003442809999993912
56,std,4,2,True,0.0006286490000002587
57,std,2,1,True,0.0004198229999996528
58,std,7,5,True,0.0012977310000001907
59,std,2,1,True,0.00033965699999960464
60,std,5,3,True,8.590499999971968e-05
61,std,3,2,True,0.0005316239999997308
62,std,2,1,True,4.652400000004775e-05
63,std,5,3,True,0.0004870129999998696
64,std,4,2,True,0.0006318130000000366
65,std,7,4,True,0.001550652999999791
66,std,4,3,True,0.0007784050000001486
67,std,4,2,True,0.0006806870000000131
68,std,4,2,True,0.0006297640000001437
69,std,3,2,True,0.0004909520000007106
70,std,2,1,True,0.00033675300000002295
71,std,4,2,True,0.0006777260000001561
72,std,4,2,True,0.0006814459999997524
73,std,5,4,True,0.005892229999999721
74,std,793,7,True,0.043668657000000444
75,std,2,1,True,0.00036008599999970414
76,std,20,3,True,0.00024544399999992805
77,std,3,2,True,0.0005197040000002318
78,std,2,1,True,0.00033746499999942614
79,std,5,4,True,0.0009793829999997783
80,std,14,7,True,0.0032666030000001456
81,std,4,3,True,0.00043998300000058777
82,std,2,1,True,0.0005765740000001074
83,std,2,1,True,0.0003409480000007292
84,std,2,1,True,0.00035612699999987285
85,std,2,1,True,0.00034255000000005253
86,std,3,2,True,0.0006609819999994215
87,std,20,3,True,0.000680411999999464
88,std,2,1,True,0.0003423229999999222
89,std,16,3,True,0.003272182999999984
90,std,5,3,True,0.0005962230000005064
91,std,5,3,True,0.001266661000000724
92,std,4,2,True,0.0003162589999998744
93,std,4,2,True,0.0006770440000005706
94,std,2,1,True,0.0003326509999999061
95,std,7,5,True,0.001072047000000076
96,std,20,3,True,0.00042482700000068263
97,std,2,1,True,0.000341622000000541
98,std,3,2,True,0.005315277000000229
99,std,2,1,True,0.00031131300000009077
100,std,4,3,True,0.0009187099999996562
