query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.46613588199999967
2,ming,5,4,True,0.027084760999999347
3,ming,1077,3,True,3.464780268
4,ming,402533,5,True,41.896378253
5,ming,6,5,True,0.29097872599999874
6,ming,5,4,True,0.07680528499999895
7,ming,3,2,True,0.05969406500000218
8,ming,5,3,True,0.04938043199999953
9,ming,5,3,True,0.011384276999997667
10,ming,3,2,True,0.00611883199999852
11,ming,23,2,True,0.011932702999999378
12,ming,4,3,True,0.01373572199999984
13,ming,1000000,0,False,92.91990218699999
14,ming,4,2,True,0.008894569999995383
15,ming,844,3,True,0.44194199800000433
16,ming,4,3,True,0.0668247749999864
17,ming,5,4,True,0.09673008900000468
18,ming,3,2,True,0.05745551900000123
19,ming,3,2,True,0.003126618999999664
20,ming,3,2,True,0.05536766400001625
21,ming,5,3,True,0.09731820300001459
22,ming,6,5,True,0.2268991780000249
23,ming,5,3,True,0.05236653599999386
24,ming,3,2,True,0.0022103490000233705
25,ming,3,2,True,0.002618760000018483
26,ming,5,4,True,0.061356480999990026
27,ming,1077,3,True,0.16828946699999392
28,ming,3,2,True,0.002063818000010542
29,ming,5,3,True,0.0027512309999906392
30,ming,6,5,True,0.07508824100000311
31,ming,5,3,True,0.04526268800000821
32,ming,5,3,True,0.04720354500000212
33,ming,4,3,True,0.011393378999997594
34,ming,2,1,True,0.061089627999990626
35,ming,5,3,True,0.04738551500000199
36,ming,4,3,True,0.012703262000002269
37,ming,3,2,True,0.002565723999992997
38,ming,845,4,True,0.21296978199998762
39,ming,1077,3,True,0.07325154100001896
40,ming,844,3,True,0.059948939999998174
41,ming,269690,6,True,41.415143597
42,ming,3,2,True,0.06068265500002212
43,ming,6,5,True,0.13680572699999516
44,ming,1077,3,True,0.7236228640000206
45,ming,1077,3,True,0.08369269199999962
46,ming,844,3,True,0.11888603700000999
47,ming,4,3,True,0.025761525999996593
48,ming,6,5,True,0.1445528950000039
49,ming,4,3,True,0.055185986999987335
50,ming,844,3,True,0.09478257899999676
51,ming,5,4,True,0.061441078000001426
52,ming,5,3,True,0.045863615999991225
53,ming,5,3,True,0.04655491299999426
54,ming,5,3,True,0.003021570000015572
55,ming,3,2,True,0.0025816490000067915
56,ming,3,2,True,0.0023207190000107403
57,ming,1077,3,True,0.07204123399998252
58,ming,5,3,True,0.0035449220000032255
59,ming,3,2,True,0.008879067999998824
60,ming,5,3,True,0.04511520299999461
61,ming,4,3,True,0.0632692860000077
62,ming,5,4,True,0.025334106999991945
63,ming,3,2,True,0.010450200999997605
64,ming,3,2,True,0.005388092000004008
65,ming,1077,3,True,0.07128231000001506
66,ming,844,3,True,0.0635774280000021
67,ming,5,3,True,0.012958572999991702
68,ming,323764,5,True,40.81642482699999
69,ming,3,2,True,0.10631024500000308
70,ming,3,2,True,0.039778847000008
71,ming,1077,3,True,0.07638492800001018
72,ming,5,3,True,0.2156374359999802
73,ming,5,3,True,0.09489483400000154
74,ming,4,3,True,0.03671473599999331
75,ming,2,1,True,0.01063049199999
76,ming,5,3,True,0.006390146000001096
77,ming,3,2,True,0.005068153999985725
78,ming,18,2,True,0.22122848999998723
79,ming,613,5,True,0.7417200980000018
80,ming,5,4,True,0.1635712549999937
81,ming,3,2,True,0.010683480000011514
82,ming,1077,3,True,0.07722611400001256
83,ming,5,3,True,0.09229484100001173
84,ming,5,3,True,0.006080655999994633
85,ming,6,5,True,0.15056574199999773
86,ming,4,2,True,0.0111697979999974
87,ming,5,3,True,0.09257296600000586
88,ming,3,2,True,0.01417641000000458
89,ming,3,2,True,0.005272918999992271
90,ming,844,3,True,0.06930180099999461
91,ming,5,3,True,0.006819831999990811
92,ming,3,2,True,0.005071502999982158
93,ming,844,3,True,0.06478534100000388
94,ming,4,3,True,0.009766833000014685
95,ming,3,2,True,0.004731955000011112
96,ming,6,5,True,0.25793722700001354
97,ming,3,2,True,0.010839126000007582
98,ming,614,5,True,0.6274419640000133
99,ming,753088,5,True,79.37890495000002
100,ming,2,1,True,0.011808177999967029
