query,std reasoner,std nodes explored,std min depth,success,time
1,std,3,2,True,0.0009452369999998211
2,std,5,4,True,0.0013321699999995218
3,std,4,3,True,0.0010681859999994714
4,std,6,5,True,0.0022227550000000207
5,std,40,5,True,0.00852436800000067
6,std,5,4,True,0.0014519140000004427
7,std,3,2,True,0.0010209799999998381
8,std,4,3,True,0.0005947720000003542
9,std,4,3,True,0.0010217890000001617
10,std,2,1,True,0.0005324890000002469
11,std,17,2,True,0.0058628270000005145
12,std,4,3,True,0.000953647000000224
13,std,1538,5,True,0.4190383449999997
14,std,4,2,True,0.0011344060000002543
15,std,4,3,True,0.0007713940000000363
16,std,4,3,True,0.0012860849999993818
17,std,5,4,True,0.00160663800000016
18,std,3,2,True,0.0005447580000002006
19,std,3,2,True,0.0003965539999999379
20,std,3,2,True,0.0009622660000001559
21,std,2,1,True,0.0007151479999993882
22,std,9,5,True,0.0031869289999999495
23,std,4,3,True,0.000863209999999448
24,std,3,2,True,0.0004060400000005515
25,std,3,2,True,0.00039998799999985124
26,std,5,4,True,0.001126117000000093
27,std,4,3,True,0.00034365499999999827
28,std,3,2,True,0.0004088329999998308
29,std,4,3,True,0.0003473319999995894
30,std,6,5,True,0.0011562720000002358
31,std,4,3,True,0.0007743580000001415
32,std,4,3,True,0.0008496290000001849
33,std,4,3,True,0.0009070030000000173
34,std,2,1,True,0.0007266140000004029
35,std,4,3,True,0.0008544569999999752
36,std,4,3,True,0.0009244459999999677
37,std,3,2,True,0.0004138899999999168
38,std,6,4,True,0.0015613370000000515
39,std,4,3,True,0.00046597000000048183
40,std,4,3,True,0.00045944099999939425
41,std,225,6,True,0.03389992700000022
42,std,3,2,True,0.0005631730000006385
43,std,21,5,True,0.006048252000000254
44,std,4,3,True,0.0004767140000003778
45,std,4,3,True,0.00035519500000003035
46,std,4,3,True,0.0004750820000003486
47,std,4,3,True,0.0008736870000003449
48,std,30,5,True,0.010424458000000136
49,std,5,3,True,0.001311218000000558
50,std,4,3,True,0.0004878349999994924
51,std,5,4,True,0.0015471709999994587
52,std,4,3,True,0.00038405699999977116
53,std,4,3,True,0.0008072879999998506
54,std,4,3,True,0.0003723310000003366
55,std,3,2,True,0.000422717999999378
56,std,3,2,True,0.0005273579999993672
57,std,4,3,True,6.863999999939807e-05
58,std,4,3,True,0.00037797199999989317
59,std,3,2,True,0.0007299099999995562
60,std,4,3,True,0.0008849440000000541
61,std,4,3,True,0.0009758930000005606
62,std,5,4,True,0.001668400999999875
63,std,2,1,True,0.0007359990000006533
64,std,3,2,True,0.0005392840000002508
65,std,4,3,True,0.0004506739999996512
66,std,4,3,True,0.00046285300000015184
67,std,5,3,True,0.0012628919999997379
68,std,6,5,True,0.001876461999999357
69,std,3,2,True,0.0006583130000006321
70,std,8,2,True,0.002300362000000611
71,std,4,3,True,0.0004765139999998169
72,std,2,1,True,0.0007461989999999474
73,std,4,3,True,0.000593414999999986
74,std,4,3,True,0.0020320920000003184
75,std,2,1,True,0.00041587700000000893
76,std,4,3,True,0.0008229530000001262
77,std,3,2,True,6.141700000039663e-05
78,std,4,2,True,0.00025991700000016493
79,std,401,5,True,0.05531701799999933
80,std,5,4,True,0.001841656999999941
81,std,3,2,True,0.0004470389999999824
82,std,4,3,True,0.00048708100000016685
83,std,4,3,True,0.00036992499999932704
84,std,4,3,True,0.00037179599999959123
85,std,6,5,True,0.0017286699999994326
86,std,4,2,True,0.0010546720000004228
87,std,4,3,True,0.0006765359999993947
88,std,3,2,True,0.0006513079999992399
89,std,3,2,True,0.0004209500000005306
90,std,4,3,True,0.0007757439999993565
91,std,4,3,True,0.00038971899999928894
92,std,3,2,True,0.0004557530000006693
93,std,4,3,True,0.0003625289999993342
94,std,20,3,True,0.004924227000000059
95,std,3,2,True,0.000550786999999886
96,std,27,5,True,0.006921649999999779
97,std,3,2,True,0.0004285710000004883
98,std,1264,5,True,0.325039824000001
99,std,6,5,True,0.001947211000000948
100,std,2,1,True,0.0004231250000010789
