query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.45579469299999964
2,ming,5,4,True,0.024594559000000515
3,ming,4,3,True,0.02364902699999938
4,ming,198109,5,True,25.639683827999995
5,ming,6,5,True,0.2919060729999998
6,ming,5,4,True,0.07478936100000055
7,ming,3,2,True,0.06117705100000137
8,ming,4,3,True,0.050384534999999175
9,ming,4,3,True,0.008075159000000554
10,ming,3,2,True,0.006939666000000955
11,ming,3,2,True,0.003712885999995308
12,ming,4,3,True,0.014945175000001143
13,ming,1000000,0,False,154.98708646400001
14,ming,4,2,True,0.008845457999996142
15,ming,4,3,True,0.017443987000007155
16,ming,4,3,True,0.08166091499998629
17,ming,5,4,True,0.1037261849999993
18,ming,3,2,True,0.061325834999991
19,ming,3,2,True,0.003138462999999092
20,ming,3,2,True,0.059697983000006616
21,ming,4,3,True,0.0989150860000052
22,ming,6,5,True,0.2276851529999817
23,ming,4,3,True,0.04891280100000017
24,ming,3,2,True,0.0024228880000123354
25,ming,3,2,True,0.0020852270000091266
26,ming,5,4,True,0.05693789199997923
27,ming,4,3,True,0.012984552999995458
28,ming,3,2,True,0.002767083000009052
29,ming,4,3,True,0.0026688370000158557
30,ming,6,5,True,0.07431217200002038
31,ming,4,3,True,0.051154881000002206
32,ming,4,3,True,0.05073690399999009
33,ming,4,3,True,0.013036213999981783
34,ming,2,1,True,0.06725499800000989
35,ming,4,3,True,0.05137799799999243
36,ming,4,3,True,0.015015860000005432
37,ming,3,2,True,0.0031828820000043834
38,ming,5,4,True,0.03947894200001656
39,ming,4,3,True,0.002745368000006465
40,ming,4,3,True,0.0025723840000182463
41,ming,708148,6,True,76.75409634700003
42,ming,3,2,True,0.05695953100001816
43,ming,6,5,True,0.11893259800001488
44,ming,4,3,True,0.02158751700000039
45,ming,4,3,True,0.0034258140000247295
46,ming,4,3,True,0.007059560000016063
47,ming,4,3,True,0.02703943099999151
48,ming,341978,5,True,57.090763815
49,ming,4,3,True,0.07092952199997171
50,ming,4,3,True,0.0027918479999584633
51,ming,5,4,True,0.10713671000002023
52,ming,4,3,True,0.04925345600003084
53,ming,4,3,True,0.04904611199998499
54,ming,4,3,True,0.0027800010000191833
55,ming,3,2,True,0.002576298000008137
56,ming,3,2,True,0.002559291000011399
57,ming,4,3,True,0.0025393989999997757
58,ming,4,3,True,0.0028003809999859186
59,ming,3,2,True,0.00991088499995385
60,ming,4,3,True,0.046205976000010196
61,ming,4,3,True,0.05573003800003562
62,ming,8,4,True,0.025807730999986234
63,ming,3,2,True,0.009909557000014502
64,ming,3,2,True,0.0051356740000301215
65,ming,4,3,True,0.0028155950000154917
66,ming,4,3,True,0.0024025920000099177
67,ming,4,3,True,0.01093258900004912
68,ming,1000000,0,False,169.33403113099996
69,ming,3,2,True,0.0724472960000071
70,ming,3,2,True,0.024960058000033314
71,ming,4,3,True,0.0030860250000159795
72,ming,2,1,True,0.06293210499995894
73,ming,4,3,True,0.05352251400000796
74,ming,4,3,True,0.021275768999998945
75,ming,2,1,True,0.005755865000026006
76,ming,4,3,True,0.051298707999990256
77,ming,3,2,True,0.0023655100000041784
78,ming,1000000,0,False,81.71287511000003
79,ming,613,5,True,0.5778861019999795
80,ming,5,4,True,0.07497701599993434
81,ming,3,2,True,0.004484832000002825
82,ming,4,3,True,0.003119922999985647
83,ming,4,3,True,0.04975884499992844
84,ming,4,3,True,0.002802387000087947
85,ming,48,5,True,0.17506611800001792
86,ming,3,2,True,0.006192811999994774
87,ming,4,3,True,0.04930301199999576
88,ming,3,2,True,0.009761532999959854
89,ming,3,2,True,0.0026180710000289764
90,ming,4,3,True,0.007436838999979045
91,ming,4,3,True,0.002720345000057023
92,ming,3,2,True,0.0021789669999634498
93,ming,4,3,True,0.002657582999972874
94,ming,4,3,True,0.012690657000007377
95,ming,3,2,True,0.0026039279999849896
96,ming,6,5,True,0.12237915200000771
97,ming,3,2,True,0.005479150000041955
98,ming,6,5,True,0.25053818900005353
99,ming,50509,5,True,7.66848482599994
100,ming,2,1,True,0.005411919999914971
