query,std reasoner,std nodes explored,std min depth,success,time
1,std,3,2,True,0.0009107739999993925
2,std,5,4,True,0.0012278600000001916
3,std,4,3,True,0.0009766090000002947
4,std,6,5,True,0.002058726000000455
5,std,40,5,True,0.00804109599999947
6,std,5,4,True,0.0013136879999997575
7,std,3,2,True,0.0009225669999999297
8,std,4,3,True,0.0005423190000000133
9,std,4,3,True,0.000933642999999762
10,std,2,1,True,0.00048790700000012066
11,std,17,2,True,0.005585835999999844
12,std,4,3,True,0.0009254209999998153
13,std,1538,5,True,0.4030871609999993
14,std,4,2,True,0.0011457099999994114
15,std,4,3,True,0.0007719860000001688
16,std,4,3,True,0.0012100710000000348
17,std,5,4,True,0.001543857999999787
18,std,3,2,True,0.0005432599999997123
19,std,3,2,True,0.00040363599999970745
20,std,3,2,True,0.0009553119999994308
21,std,2,1,True,0.000707843999999902
22,std,9,5,True,0.0031273629999999386
23,std,4,3,True,0.0008478580000002012
24,std,3,2,True,0.00041928000000002186
25,std,3,2,True,0.0003999370000000724
26,std,5,4,True,0.0011282990000003323
27,std,4,3,True,0.0003529539999993503
28,std,3,2,True,0.0004086540000001193
29,std,4,3,True,0.00034634200000027704
30,std,6,5,True,0.001170990000000316
31,std,4,3,True,0.0007673239999999026
32,std,4,3,True,0.0008315709999999754
33,std,4,3,True,0.0009310500000001554
34,std,2,1,True,0.0007269680000003831
35,std,4,3,True,0.0008560609999994639
36,std,4,3,True,0.0009494339999998047
37,std,3,2,True,0.0003980810000001611
38,std,6,4,True,0.0014754409999993001
39,std,4,3,True,0.0004425110000001453
40,std,4,3,True,0.0004412220000000744
41,std,225,6,True,0.03156829799999983
42,std,3,2,True,0.0005039699999995761
43,std,21,5,True,0.005649992000000381
44,std,4,3,True,0.0004352589999996326
45,std,4,3,True,0.00032687599999992045
46,std,4,3,True,0.0004304340000000906
47,std,4,3,True,0.0007874550000002145
48,std,30,5,True,0.009783374999999594
49,std,5,3,True,0.0012351910000001354
50,std,4,3,True,0.00045925700000015723
51,std,5,4,True,0.0014809850000006008
52,std,4,3,True,0.00037505800000037226
53,std,4,3,True,0.0007234710000005862
54,std,4,3,True,0.00034315899999981525
55,std,3,2,True,0.00037769999999959225
56,std,3,2,True,0.0005035790000000873
57,std,4,3,True,6.069400000008329e-05
58,std,4,3,True,0.0003592609999998331
59,std,3,2,True,0.0007005320000006421
60,std,4,3,True,0.0007883519999998256
61,std,4,3,True,0.0008736579999997218
62,std,5,4,True,0.0014952939999997028
63,std,2,1,True,0.0006482800000000566
64,std,3,2,True,0.00048666300000022034
65,std,4,3,True,0.0004226310000001732
66,std,4,3,True,0.00042570399999952713
67,std,5,3,True,0.0011971639999996952
68,std,6,5,True,0.0016803169999999312
69,std,3,2,True,0.0005650789999993577
70,std,8,2,True,0.002111143999999676
71,std,4,3,True,0.0004421590000003306
72,std,2,1,True,0.0006653080000003087
73,std,4,3,True,0.0005486359999995472
74,std,4,3,True,0.0018271030000001076
75,std,2,1,True,0.0004113300000003761
76,std,4,3,True,0.0007401869999998922
77,std,3,2,True,5.709399999975773e-05
78,std,4,2,True,0.0002483139999993611
79,std,401,5,True,0.049343585999999995
80,std,5,4,True,0.0017764109999998112
81,std,3,2,True,0.00041654699999948974
82,std,4,3,True,0.00043820800000027305
83,std,4,3,True,0.0003319499999996367
84,std,4,3,True,0.00033378699999975225
85,std,6,5,True,0.0015506979999999615
86,std,4,2,True,0.0010037580000004098
87,std,4,3,True,0.0005859819999995963
88,std,3,2,True,0.0005834090000007564
89,std,3,2,True,0.0003808450000004626
90,std,4,3,True,0.000678192999999716
91,std,4,3,True,0.00036268900000013815
92,std,3,2,True,0.00040919000000005923
93,std,4,3,True,0.0003295809999999122
94,std,20,3,True,0.004949399000000021
95,std,3,2,True,0.0005162369999993643
96,std,27,5,True,0.006791674999999664
97,std,3,2,True,0.00040122700000022604
98,std,1264,5,True,0.29325438700000017
99,std,6,5,True,0.0017406100000005864
100,std,2,1,True,0.0004041199999988976
