query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.000374136000000469
2,std,1000000,0,False,69.32632656199999
3,std,2,1,True,0.0002924710000087316
4,std,1000000,0,False,60.94728734099999
5,std,1000000,0,False,75.73916828699998
6,std,2,1,True,0.00035260200002085185
7,std,1000000,0,False,71.776275725
8,std,2,1,True,0.00038122800003748125
9,std,2,1,True,0.00031810699999823555
10,std,4,2,True,0.0009498329999928501
11,std,10,6,True,0.003927843999974812
12,std,2,1,True,0.0003028309999990597
13,std,2,1,True,0.0004035839999687596
14,std,78,6,True,0.012369731999967826
15,std,3,2,True,0.0005164480000416916
16,std,4,2,True,0.0009263179999834392
17,std,52,4,True,0.03875999000001684
18,std,2,1,True,0.00035204699997848365
19,std,6,3,True,0.0013565760000346927
20,std,1000000,0,False,75.24528612900002
21,std,1000000,0,False,75.754792334
22,std,2,1,True,0.0003841210000246065
23,std,1000000,0,False,82.87478163999998
24,std,38,8,True,0.009547153000085018
25,std,2,1,True,0.00029771900005926
26,std,2,1,True,0.0003526589999864882
27,std,4,2,True,0.0009765500000185057
28,std,1000000,0,False,72.14095005600007
29,std,67,8,True,0.016363845000000765
30,std,4,2,True,0.0009452970000438654
31,std,3,2,True,0.000620488999970803
32,std,10,6,True,0.0019540399999868896
33,std,2,1,True,0.00042241400001330476
34,std,4,2,True,0.000914766000050804
35,std,2,1,True,0.0004115220000358022
36,std,16,11,True,0.004958506999969359
37,std,50,5,True,0.03937154000004739
38,std,2,1,True,0.00045296300004338264
39,std,2,1,True,0.000297735999993165
40,std,1000000,0,False,70.23689058799994
41,std,1000000,0,False,73.76929049399996
42,std,3,2,True,0.0006446590000450669
43,std,2,1,True,0.00027461299998776667
44,std,5,3,True,0.0013267210000549312
45,std,2,1,True,0.000339149000069483
46,std,2,1,True,0.003907308999941961
47,std,4,2,True,0.0008725300000378411
48,std,1000000,0,False,79.48901017000003
49,std,1000000,0,False,76.30359985299992
50,std,32,4,True,0.043087872999990395
51,std,8,4,True,0.0020715089999612246
52,std,4,3,True,0.0007124280000425642
53,std,1000000,0,False,73.903555536
54,std,1000000,0,False,83.40416286999994
55,std,2,1,True,0.0003899700000147277
56,std,6,3,True,0.0013611250001304143
57,std,2,1,True,0.00034513299988248036
58,std,9,5,True,0.004730885000071794
59,std,5,4,True,0.001077011000006678
60,std,78,6,True,0.014002470000150424
61,std,3,2,True,0.0006948459999875922
62,std,1000000,0,False,74.38239886999986
63,std,78,6,True,0.013311778999877788
64,std,8,4,True,0.0020264159998077957
65,std,1000000,0,False,69.44211606299996
66,std,5,3,True,0.0014084509998610883
67,std,209738,14,True,10.241660135999837
68,std,2,1,True,0.0003503000000364409
69,std,1000000,0,False,70.57122477500002
70,std,162626,0,False,10.24483698500012
71,std,32,5,True,0.0057954839999183605
72,std,4,2,True,0.0009701579999727983
73,std,2,1,True,0.0002849570000762469
74,std,11851,0,False,1.4955695950000063
75,std,78,6,True,0.012402773999838246
76,std,2,1,True,0.0002650910000738804
77,std,2,1,True,0.0012337779999143095
78,std,1000000,0,False,76.15107377100003
79,std,2,1,True,0.0004790479999883246
80,std,2,1,True,0.0002979000000777887
81,std,1000000,0,False,69.80378909000001
82,std,238200,0,False,11.047436345000051
83,std,2,1,True,0.0003083130000050005
84,std,765,0,False,0.06259600499993212
85,std,1000000,0,False,72.45432093699992
86,std,9,5,True,0.0023536660000900156
87,std,5,3,True,0.001317050000125164
88,std,18,13,True,0.013883284000030471
89,std,3,2,True,0.0006279750000430795
90,std,1000000,0,False,71.54752913900006
91,std,35,9,True,0.009686517999853095
92,std,2,1,True,0.00033554500009813637
93,std,2,1,True,0.0002982469998187298
94,std,1000000,0,False,74.32837529800008
95,std,1000000,0,False,83.53219035699999
96,std,2,1,True,0.0003322059999391058
97,std,1000000,0,False,76.91957609699989
98,std,11,7,True,0.0023806489998605684
99,std,1000000,0,False,71.85132777900003
100,std,78,6,True,0.016844628000171724
