query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.4039291029999994
2,ming,1000000,0,False,1106.9299968750001
3,ming,2,1,True,0.002761779999900682
4,ming,537996,0,False,189.7301227790001
5,ming,23,15,True,0.10235837000004722
6,ming,2,1,True,0.01192484000011973
7,ming,3,2,True,0.009842575999982728
8,ming,2,1,True,0.013763939999989816
9,ming,2,1,True,0.011891042999877754
10,ming,3,2,True,0.005211663999943994
11,ming,7,6,True,0.02473260100009611
12,ming,2,1,True,0.0062364770001295255
13,ming,2,1,True,0.0033433749999858264
14,ming,89,13,True,0.382859045000032
15,ming,4,3,True,0.008184209000091869
16,ming,3,2,True,0.005483868000055736
17,ming,4,3,True,0.007703805000119246
18,ming,2,1,True,0.013722804000053657
19,ming,5,3,True,0.007265047999908347
20,ming,456,15,True,1.48582499500003
21,ming,4256,15,True,11.682978257000059
22,ming,2,1,True,0.014400099999875238
23,ming,35676,15,True,34.88949380200006
24,ming,9,8,True,0.05936475099997551
25,ming,2,1,True,0.011760031999983767
26,ming,2,1,True,0.014320078000082503
27,ming,3,2,True,0.00532801299982566
28,ming,509,15,True,0.8561210170000777
29,ming,36495,8,True,30.151532008999993
30,ming,3,2,True,0.005494433999956527
31,ming,3,2,True,0.013112397999975656
32,ming,7,6,True,0.013618312999824411
33,ming,2,1,True,0.003331527999989703
34,ming,3,2,True,0.006698677000031239
35,ming,2,1,True,0.0034905390000403713
36,ming,6759,15,True,6.916140672999973
37,ming,5,4,True,0.009693490000017846
38,ming,2,1,True,0.0033870100000967795
39,ming,2,1,True,0.012066401000083715
40,ming,6,5,True,0.07715735700003279
41,ming,96,15,True,0.23338370700002997
42,ming,3,2,True,0.013304640999876938
43,ming,2,1,True,0.005785700999922483
44,ming,19,15,True,0.05263211700003012
45,ming,2,1,True,0.014357924000023559
46,ming,2,1,True,0.013412812000069607
47,ming,3,2,True,0.005199874000027194
48,ming,25157,9,True,19.879439737999974
49,ming,4,2,True,0.01950238599988552
50,ming,5,4,True,0.009121190999849205
51,ming,6,4,True,0.01000636999992821
52,ming,4,3,True,0.010046883999848433
53,ming,4,2,True,0.01909690699994826
54,ming,1000000,0,False,249.07923084499998
55,ming,2,1,True,0.014793915999916862
56,ming,4,3,True,0.006689999999935026
57,ming,2,1,True,0.014331025000046793
58,ming,6,5,True,0.024879711000039606
59,ming,5,4,True,0.02063548000000992
60,ming,89,13,True,0.2666959880000377
61,ming,40,14,True,0.1026665500000945
62,ming,1000000,0,False,1228.6708366819998
63,ming,89,13,True,0.2605012919998444
64,ming,6,4,True,0.009985095000047295
65,ming,672485,15,True,213.21275078399958
66,ming,5,4,True,0.009877963000235468
67,ming,23244,15,True,32.157445586999984
68,ming,2,1,True,0.013681445000202075
69,ming,1000000,0,False,1418.1451619059999
70,ming,422778,0,False,150.21125292000033
71,ming,5,4,True,0.009731535000355507
72,ming,3,2,True,0.006455515999732597
73,ming,2,1,True,0.0027747189997171517
74,ming,1000000,0,False,452.25875335300043
75,ming,89,13,True,0.2562569629999416
76,ming,2,1,True,0.0029433859999699052
77,ming,2,1,True,0.003506478000417701
78,ming,178727,15,True,85.6212917720004
79,ming,2,1,True,0.0034646840003915713
80,ming,2,1,True,0.011931240999729198
81,ming,1000000,0,False,1109.888566146
82,ming,581079,0,False,178.23054747700007
83,ming,2,1,True,0.003245126000365417
84,ming,926667,0,False,287.77342194800076
85,ming,13,12,True,0.08395485999972152
86,ming,6,5,True,0.012562938999508333
87,ming,19,15,True,0.052870663999783574
88,ming,1000000,0,False,848.5479770540005
89,ming,3,2,True,0.012584063999383943
90,ming,83,15,True,0.27275782200013055
91,ming,8065,13,True,9.004997137999453
92,ming,2,1,True,0.013475797999490169
93,ming,2,1,True,0.0026760689997900045
94,ming,4,2,True,0.019697262000590854
95,ming,6250,13,True,7.172968928000046
96,ming,2,1,True,0.012060964999363932
97,ming,322969,15,True,56.124288232000254
98,ming,4,3,True,0.011951159000091138
99,ming,1000000,0,False,613.7601754259995
100,ming,89,13,True,0.2708754380000755
